timestamp,csv_output_path,input_volume,projection_mode,projection_mode_status,markers_sorted,perspective_calibration_ready,orthographic_calibration_ready,shot1_available,shot2_available,shot3_available,shot2_angle_deg,shot3_angle_m3_m1_deg,shot3_angle_m3_m2_deg,tre_value_mm,reprojection_error_px,ray_gap_mm,tre_display,reprojection_display,ray_gap_display,point1_selector,point2_selector,reprojection_point1_selector,reprojection_point2_selector,red_2d_selector,green_2d_selector,knife_selector,testpoint_x,testpoint_y,testpoint_z,testpoint_marker_distance_t1_mm,testpoint_marker_distance_t2_mm,testpoint_marker_distance_t3_mm,testpoint_marker_distance_mean_mm,debug_visualization,debug_plane_scale,debug_ray_scale
2026-03-01 20:16:45+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.3,0.05,0,0.30 mm,0.05 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-85.31382751,-117.9485703,-161.9338226,263.1669479,285.8742348,256.6771565,268.5727797,0,6,10
2026-03-01 20:18:33+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.29,0.14,0,0.29 mm,0.14 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,40.18473816,-100.2789688,-118.3517838,247.7462483,265.273843,243.0120524,252.0107145,0,6,10
2026-03-01 20:19:37+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.24,0.1,0,0.24 mm,0.10 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-40.11224365,-108.69767,-239.4100189,244.9555534,266.8109364,235.4581439,249.0748779,0,6,10
2026-03-01 20:21:25+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.19,0.41,0,0.19 mm,0.41 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-7.851573944,-57.64895248,-92.89359283,214.9748652,233.3666035,212.2339416,220.1918035,0,6,10
2026-03-01 20:22:18+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.1,0.23,0,0.10 mm,0.23 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-21.89546394,-75.12559509,-229.4608307,208.3595027,229.8091235,198.9558396,212.374822,0,6,10
2026-03-01 20:23:12+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.43,0.34,0,0.43 mm,0.34 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-48.08581924,-110.8483582,-286.8681335,260.5396782,281.7291747,249.9190489,264.062634,0,6,10
2026-03-01 20:24:25+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.17,0.19,0,0.17 mm,0.19 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-41.0856781,63.67842484,-69.37146759,148.864949,161.5499757,153.039877,154.4849339,0,6,10
2026-03-01 20:25:33+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.2,0.14,0,0.20 mm,0.14 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-58.12583542,35.24305344,-9.436267853,217.3294739,229.4615927,221.4891459,222.7600708,0,6,10
2026-03-01 20:26:45+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.1,0.07,0,0.10 mm,0.07 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,-115.1601944,77.50450134,-238.1129608,128.6973399,147.2663951,122.9974107,132.9870486,0,6,10
2026-03-01 20:28:49+08:00,C:\Users\80758\AppData\Local\Temp\Slicer\Biplane\experiment_results.csv,CTChest,Perspective,Current mode: Perspective,1,1,0,1,1,1,54.05,46.5,68.81,0.13,0.16,0,0.13 mm,0.16 px,0.00 mm,testPoint,TargetP3D,blackCenter2,PointGreen,PointRed,PointGreen,testPoint,102.5640945,63.43504715,-193.6777496,126.5130102,130.2856648,122.9091904,126.5692885,0,6,10
